Temperature,Concentration,Viscosity,Boiling Point,Freezing Point,Molecular mass + (u),Ionic radius + (pm),Charge number +,Molecular mass - (u),Ionic radius - (pm),Charge number -,Shielding Effect+,RAC+,Molecular Polarization+,Shielding Effect-,RAC-,Molecular Polarization-,Dielectric
30,23.52,884,104.77,-7.99,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,47.67
30,26.88,919.51,105.55,-9.13,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,45.77
30,30.24,955.02,106.33,-10.26,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,44.28
30,33.6,990.54,107.12,-11.4,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,43.17
40,3.44,540.05,100.1,-1.17,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,66.68
40,6.88,569.28,100.9,-2.34,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,61.45
40,10.32,598.51,101.7,-3.51,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,57.04
40,13.76,627.74,102.5,-4.68,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,53.28
40,17.2,656.97,103.3,-5.84,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,50.1
40,20.64,686.2,104.1,-7.01,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,47.42
40,24.08,715.42,104.9,-8.18,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,45.21
40,27.52,744.65,105.7,-9.34,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,43.42
40,30.96,773.88,106.5,-10.51,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,42.04
40,34.4,803.11,107.3,-11.68,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,41.07
50,3.52,452.09,100.12,-1.2,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,63.57
50,7.04,477.09,100.94,-2.4,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,58.49
50,10.56,502.1,101.76,-3.59,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,54.22
50,14.08,527.1,102.58,-4.78,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,50.6
50,17.6,552.11,103.39,-5.98,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,47.54
50,21.12,577.11,104.21,-7.17,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,44.98
50,24.64,602.12,105.03,-8.37,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,42.88
50,28.16,627.13,105.85,-9.56,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,41.21
50,31.68,652.13,106.67,-10.75,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,39.93
50,35.2,677.14,107.49,-11.95,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,39.03
50,3.65,389.21,100.15,-1.25,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,60.54
60,7.3,411.48,101,-2.48,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,55.55
60,10.95,433.76,101.85,-3.72,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,51.39
60,14.6,456.04,102.7,-4.96,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,47.87
60,18.25,478.31,103.55,-6.2,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,44.93
60,21.9,500.59,104.39,-7.44,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,42.49
60,25.55,522.87,105.24,-8.67,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,40.52
60,29.2,545.15,106.08,-9.91,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,38.97
60,32.85,567.42,106.94,-11.15,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,37.83
60,36.5,589.7,107.79,-12.39,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,37.06
70,3.7,341.42,100.16,-1.26,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,57.16
70,7.4,361.22,101,-2.52,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,52.95
70,11.1,381.01,101.88,-3.77,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,48.94
70,14.8,400.81,102.74,-5.03,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,45.57
70,18.5,420.6,103.6,-6.28,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,42.75
70,22.2,440.4,104.46,-7.54,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,40.42
70,25.9,460.19,105.32,-8.79,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,38.55
70,29.6,479.98,106.19,-10.05,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,37.09
70,33.3,499.78,107.05,-11.3,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,36.03
70,37,519.57,107.91,-12.56,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,35.33
80,3.75,304.14,100.16,-1.28,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,55.1
80,7.5,322,101.04,-2.55,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,50.48
80,11.25,339.86,101.92,-3.82,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,46.61
80,15,357.71,102.79,-5.1,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,43.37
80,18.75,375.57,103.66,-6.37,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,40.67
80,22.5,393.43,104.53,-7.64,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,38.46
80,26.25,411.29,105.41,-8.91,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,36.68
80,30,429.14,106.28,-10.18,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,35.14
80,33.75,447,107.15,-11.46,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,34.32
80,37.5,464.86,108.02,-12.73,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,33.69
90,3.8,274.24,100.18,-1.3,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,52.59
90,7.6,290.55,101.07,-2.59,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,48.11
90,11.4,306.85,101.95,-3.87,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,44.4
90,15.2,323.16,102.84,-5.16,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,41.29
90,19,339.46,103.72,-6.45,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,38.7
90,22.8,355.76,104.6,-7.74,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,36.59
90,26.6,372.07,105.49,-9.03,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,34.9
90,30.4,388.37,106.37,-10.32,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,33.61
90,34.2,404.67,107.26,-11.61,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,32.69
90,38,420.98,108.14,-12.9,22.99,102,1,34.45,181,-1,1,1,1,1,1,1,32.13
